SMILES Labelled,ConBase_pKa,pB,qB,Reference
[NH:10]1C(c(cc2)ccc2Cl)SCC1,5.01,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1C(c(cc2)ccc2Br)SCC1,5.05,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1C(c(cc2)ccc2[N+]([O-])=O)SCC1,4.55,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@H](C)C[NH2+][C@@H](C)C1,5.29,4,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@@H](C)CNC[C@H]1C,9.86,2,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@@H](C)CN[C@H](C)C1,9.76,2,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@@H](C)CN[C@@H](C)C1,9.98,2,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@@H](C)CCC[C@H]1C,10.99,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@@H](C)C[NH2+][C@@H](C)C1,5.23,4,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@@H](C)[C@H]1C,5.34,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10]1[C@@H](C)[C@@H]1C,5.33,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
