SMILES Labelled,ConBase_pKa,Reference
[n:10]1ccc[n]1-c1[nH+]cccc1,-4.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(/c1cc(C)ccc1)\SCC,-4.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
Clc1ccc(/C=[O:10])cc1,-4.73,"Guthrie, J. P.; Barker, J.; Cullimore, P. A.; Lu, J.; Pik, D. C. Can. J. Chem. 1993, 71, 2109 - 2122. "
[O:10]=C(\Cc1[nH+]c(cccc2)c2[nH]1)/O,-4.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1cc(C)[nH+]c(C)c1,-4.48,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-4.43,"Jensen, J. L.; Gardner, M. P. J. Phys. Chem. 1973, 77, 1557 - 1562."
[n:10]1cc(C)[nH+]cc1C,-4.42,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]1CCCC1,-4.4,Reich Table
CN(c1ccccc1)C(O)[OH:10],-4.37,"Guthrie, J. P.; Barker, J.; Cullimore, P. A.; Lu, J.; Pik, D. C. Can. J. Chem. 1993, 71, 2109 - 2122. "
[O:10]=C(/c1ccc(C)cc1)\SCC,-4.2,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C)c(C)[nH+]cc1,-4.17,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(\NC1=O)/NN1c1ccccc1,-4.1,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
COC(O)[OH:10],-3.97,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[n:10](nc1)n[n]1-c(cc1)ccc1[N+]([O-])=O,-3.92,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C)cc[n]1-c1[nH+]cccc1,-3.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
COC(C)=[O:10],-3.90,"Bagno, A.; Scorrano, G. J. Am. Chem. Soc. 1988, 110, 4577 - 4582."
CN(C)C(O)[OH:10],-3.86,"Guthrie, J. P.; Barker, J.; Cullimore, P. A.; Lu, J.; Pik, D. C. Can. J. Chem. 1993, 71, 2109 - 2122. "
C[O:10]C,-3.83,"Arnett, E. M.; Wu, C. Y. J. Am. Chem. Soc. 1962, 84, 1684 - 1688."
[O:10]=C(/c(cc1)ccc1OC)\SCC,-3.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CCSC(O)[OH:10],-3.75,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[O:10]=C1\N(CC)c(cccc2)c2N\1C,-3.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C)c(C)[nH+]c(C)c1,-3.6,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CC[O:10]CC,-3.59,"Arnett, E. M.; Wu, C. Y. J. Am. Chem. Soc. 1962, 84, 1684 - 1688."
COC(C)(O)[OH:10],-3.54,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[n:10](nc1)n[n]1-c1ccccc1,-3.41,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
COS(=O)(=O)[O-:10],-3.4,"Guthrie, J. P. Can. J. Chem. 1978, 56, 2342 - 2354."
[S:10]=C1\NC(SCc2ccccc2)=C(c2ccccc2)N\1,-3.31,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CCSC(C)(O)[OH:10],-3.31,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[S:10]=C(\c1ccccc1)/N,-3.2,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]=C(/NC1c2ccccc2)\NC1=S,-3.16,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(C)c1cc2[nH+]c3cc([NH+](C)C)ccc3cc2cc1,-3.15,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](nc1/C=C/c(cc2)ccc2[N+]([O-])=O)n[n]1-c(cc1)ccc1[N+]([O-])=O,-3.15,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](nc1/C=C/c(cc2)ccc2Cl)n[n]1-c(cc1)ccc1[N+]([O-])=O,-3.05,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]c(c(Cl)cc([N+]([O-])=O)c1)c1Cl,-2.98,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CN(C)C(O)[OH:10],-2.91,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[n:10]1c(C)cc(C)[n]1-c1[nH+][n](C)c(C)c1,-2.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C1\C=CC=CC\1,-2.89,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](nc1/C=C\c2ccccc2)n[n]1-c1ccccc1,-2.81,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1n[nH]c(CC[NH+](C)C)n1,-2.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
c1ccccc1S(=O)(=O)[O-:10],-2.8,"Guthrie, J. P. Can. J. Chem. 1978, 56, 2342 - 2354."
OC[OH:10],-2.79,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[n:10]1c(C)c(C)[nH+]c(C)c1C,-2.73,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](nc1/C=C/c(cc2)ccc2N(C)C)n[n]1-c1ccccc1,-2.61,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CS(=O)(=O)[O-:10],-2.6,Reich Table
[n:10](nc1/C=C/c(cc2)ccc2Cl)n[n]1-c1ccccc1,-2.54,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]=C(\C)/N,-2.51,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]=C(/c1ccccc1)\NC,-2.5,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10](c1ccccc1)c(cc1)ccc1[N+]([O-])=O,-2.5,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
c2ccc(/[N:10]=N/c1ccccc1)cc2,-2.5,"Klotz, I. M.; Fiess, H. A.; Ho, J. Y. C.;  Mellody, M. J. Am. Chem. Soc. 1954, 76, 5136 - 5140."
CN(C)C(C)(O)[OH:10],-2.47,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[NH:10](C)c1ccc[n+](O)c1,-2.42,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(\c1c[nH+]ccc1)/O,-2.4,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]([nH]1)c(C)cc1-[n]1[nH+]c(C)cc1C,-2.4,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C)cc(C)[n]1-c1[nH+]cccc1,-2.4,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CC(O)[OH:10],-2.35,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[S:10]=C(/c1ccccc1)\N(C)C,-2.3,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](nc1/C=C/c2ccccc2)n[n]1-c1ccccc1,-2.3,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(cc1)[nH+]nc1O,-2.2,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=S(\C(C)(C)C)/c1ccc(C)cc1,-2.2,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
C[OH:10],-2.2,Reich Table
