SMILES Labelled,ConBase_pKa,Reference
[n:10](cc1)ncc1N,6.69,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]cc1/C=C\C([O-])=O,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](CCC)(CCCl)CCCl,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C(C)(C)C)cc(C(C)(C)C)cc1,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c(-c1nc(N)ccc1)ccc1)c1N,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]C(CC#N)c1ccccc1,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](c(cccc1)c1C(O)=O)N=C(C#N)C#N,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](\CC)=C1/SC(c2ccccc2)=NN/1CC,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](CCCCCCCCCC)(CC(C)O)CC(CC)O,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1c(CCCCCCCCCC)c(-c2ccccc2)n[n]1-c1ccccc1,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(N)[n](C2CCCC2)c2c1ccc(/C(\c(cccc1)c1F)=C\C(NC)=O)c2,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCCCC1)c(cc1)ccc1N1CCOCC1,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(N)[n](C(C)C)c2c1ccc(/C(\c1cccc(F)c1F)=C\C(N)=O)c2,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](C=Nc(c1c2)cc(Cl)c2S(N)(=O)=O)S1(=O)=O,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10]1OCCC1=O,6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cncc1)c1[S-],6.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10][C@@H](CCCC1)[C@H]1[NH3+],6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](\c(cccc1)c1Br)=C\N(C)C,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1cccc2cccc(O)c12,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](C=N1)c(ccnc2)c2S1(=O)=O,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](\c(cc1)ccc1[N+]([O-])=O)=C\N(C)C,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]CC[n+]1cc2ccccc2c(Br)c1,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(C1CCCC1)c1ccccc1,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc1)c(c(C)c(cc2)[N+]([O-])=O)c2c1NCCC[NH+](C)C,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc1)c(cccc2[N+]([O-])=O)c2c1NCCCC[NH+](C)C,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]=C(\C)/SC,6.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]C(C(C=CC=C1)=O)=C1O,6.72,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(cc(cc2)N)c2cc2ccc(cccc3)c3c12,6.72,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10][C@H]([C@H](C)[C@@H]([C@@H]1C)N)[C@@H](C)[C@H]1[NH3+],6.73,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c(N)nc(N)c1)c1N1CCOCC1,6.73,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(ccc(-c1ccccc1)c1)c1[N+]([O-])=O,6.73,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1c(Cc2ccccc2)c(-c2ccccc2)n[n]1C1CC[NH+](C)CC1,6.73,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c(OC)ccc1)c1[N+]([O-])=O,6.74,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1cnc2NCCNc2c1C,6.74,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(ccc([N+]([O-])=O)c1)c1O,6.74,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]c(CC(C([O-])=O)NC(CC[NH3+])=O)c1,6.74,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c1cc(N)ccc11)c(cccc2)c2c1Cl,6.74,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCNc(cc2)nnc2-c2ccccc2)CCOCC1,6.74,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]CCC[NH+](C)C,6.74,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]1CC[NH2+]CCCNCC1,6.75,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](c1ccc(C)cc1)N=C(C#N)C#N,6.75,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](c1c(C)ccc(C)c1)N=C(C#N)C#N,6.75,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]/C(\c1ccccc1)=C/c1c[n+](C)ccc1,6.75,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]=C(\c1ccccc1)/c(c(C)cc(O)c1)c1O,6.75,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCNc2c(C(F)(F)F)cc(-c3ccccc3)nn2)CCOCC1,6.75,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]CC[NH+](CC)CC,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]cc1CCNC(C[NH3+])=O,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]Nc1ccnc2ccccc12,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10](C1)C1c1ccc(C)cc1,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S-:10]c(cc1)ccc1OC,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(ccc1c2nc[n]1C)c2N=O,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]cc1C[C@@H](C([O-])=O)NC([C@H](C)[NH3+])=O,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(CCc1cc(CC2)ccc1)c1ccc2cc1,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc1)c2[n]1cc(-c(ccc(OC)c1)c1OC)[nH]2,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCCNS(c(ccc(OC)c2OC)c2OC)(=O)=O)CCOCC1,6.76,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C)cc(C)cc1,6.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1c(C=O)ccnc1,6.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]cc1CCNC(C[NH2+]C)=O,6.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]cc1CC(C([O-])=O)NC(C[NH3+])=O,6.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc1)c(cc(cc2)[N+]([O-])=O)c2c1NCCC[NH+](C)C,6.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-]C(c1cc2c(ccc(Cn3cc[n:10]c3)c2)s1)=O,6.77,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]CC[NH2+]CCCO,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(ccc(NC(C)=O)c1)c1[N+]([O-])=O,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]c(CC(C([O-])=O)[NH3+])c1,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](c(cc1)ccc1C#N)S(c1ccccc1)(=O)=O,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(CC1)CCN1C(c1ccccc1)=O,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c1nc(C)ccc11)ccc1[N+]([O-])=O,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(Cc(cc(cc2)Cl)c2O)CCOCC1,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(Cc(cc(cc2)F)c2O)CCOCC1,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1cncnc1,6.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH-:10]S(C(F)(F)I)(=O)=O,6.79,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCCC2)N2CCCC1,6.79,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]=C(\c1ccccc1)/c1c(C)ccc(C)c1,6.79,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]=C(\c1ccccc1)/c1c(C)cc(C)cc1,6.79,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10][C@@H](C)[C@H](C)[NH3+],6.79,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]CC(C)(C)[NH3+],6.79,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(CC)N(C)CC,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](c1c(C(N2)=S)[n](C)cn1)C2=O,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c(Cl)ccc1)c1Cl,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10](CCOc1ccccc1)N,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](C(CC)=O)OC(/C=C/c1ccccc1)=O,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
O=C(c1ccccc1)[N-:10]c2sc(c3ccccc3)nn2,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(cc1)cc(O2)c1C=C(c1nc(cc(cc3)Cl)c3[o]1)C2=O,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCC(c2cccc(Br)c2)=O)CCOCC1,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c(C[NH+](C)C)c(cc1O)C(OC)=O)c1O,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]1CCN(Cc2n[nH]c(CN3CC[NH2+]CCNCC3)c2)CC[NH2+]CC1,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]cc1C[C@@H](C([O-])=O)NC([C@H](Cc1c[nH]cn1)[NH3+])=O,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(cc1)cc(O2)c1C=C(c1nc3cc(C)cc(OS([O-])(=O)=O)c3[o]1)C2=O,6.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](C(C)=O)OC(C)=O,6.81,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1cccc2ccc[n+](C)c12,6.81,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cnc1nccnc11)c1[S-],6.81,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCCNC(c(cc2)ccc2Cl)=O)CCOCC1,6.81,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCNc(c(-c2ccccc2)c2)nnc2-c2ccccc2)CCOCC1,6.81,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(CC)NCC,6.81,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]=C(c1ccccc1)c1ccccc1,6.82,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]=C(\c1ccccc1)/c1cc(C)cc(C)c1,6.82,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(ccc([N+]([O-])=O)c1)c1OC,6.83,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCC(C(C)=O)(c2ccccc2)c2ccccc2)CCOCC1,6.83,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cccc1N)c1N,6.84,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]cc1CCNC(CC[NH3+])=O,6.84,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c1ccccc11)ncc1N,6.84,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc(CCO)[nH]1)c1P(c1ncc(CCO)[nH]1)c1[nH+]cc(CCO)[nH]1,6.84,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(cc1)cc(O2)c1C=C(c1nc(cccc3)c3[o]1)C2=O,6.84,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc1)c(c(C)ccc2[N+]([O-])=O)c2c1NCCC[NH+](C)C,6.84,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10][C@H](C)[C@H](C)[NH3+],6.84,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C)cccc1C,6.85,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](\c(cccc1)c1Cl)=C\N(C)C,6.85,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c(C)c1)c(C)nc1N,6.85,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]CC[n+]1cc2ccccc2cc1,6.85,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](CCN1CCOCC1)c(nnc(-c1ccccc1)c1)c1C(N)=O,6.85,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(CC)NC,6.85,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](\c(cc1)ccc1-c(cc1)ccc1N)=C\c(cc1)ccc1O,6.86,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]C1=CC=CC=CC1=O,6.87,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c([S-])[nH+]1)c(C)cc1[S-],6.87,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c(Cc(cc(C)cc1)c1O)cc(C)c1)c1[N+]([O-])=O,6.87,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](CC([O-])=O)(CC([O-])=O)Cc1nc(cccc2)c2[nH]1,6.87,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](CC)(CC)N(C)C,6.88,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10][n+](c1ccccc1cc1)c1[O-],6.88,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n-:10](cn1)c2c1ncnc2C#N,6.88,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c1ccccc1c1c2)cc1ccc2N,6.88,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
C/[N:10]=C/C(C)C,6.88,"Hine, J.; Craig Jr., J. C.;  Underwood II, J. G.; Via, F. A. J. Am. Chem. Soc. 1970, 92, 5194 - 5199."
[O-:10]c1snc(CC)n1,6.89,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(C)N(C)C2CC1CC2,6.89,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCOCC1)C(C)CC(C(CC)=O)(c1ccccc1)c1ccccc1,6.89,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCNc2c(C=O)cc(-c3ccccc3)nn2)CCOCC1,6.89,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]CC(C[NH3+])=O,6.89,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1=C(Cc2ccccc2)CCC1,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1cccc2c[n+](C)ccc12,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](c1c(C)cccc1)N=C(C#N)C#N,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1ccc(C=CC(O2)=O)c2c1O,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1cc(C)n[n]1-c1nc(C)cc(OC)n1,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
ClCC([N-:10]c1sc(c2ccccc2)nn1)=O,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CCOCC1)C(C)CC(c1ccccc1)c1ccccc1,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c1ccccc11)c(cccc2[N+]([O-])=O)c2c1NCCCC[NH+](C)C,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CC2)[C@@H]3c4c2c(cccc2)c2[n]4CC[C@]3(CC)CCC1,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C(CC([O-])=O)c2ncc[nH]2)[nH]cc1,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10]=C(/C)\SCC,6.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c1[nH+]cc2)cccc1c2N,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CC(CS([O-])(=O)=O)O)CCOCC1,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](CCCC)(CC1OC1)CC1OC1,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](CC)(CC1OC1)CC1OC1,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc1)c2c([N+]([O-])=O)cccc2c1NCCC[NH+](C)C,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N-:10](c1cc([N+]([O-])=O)ccc1)S(c1ccccc1)(=O)=O,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c(C(NCC1[NH+](CC)CCC1)=O)c(c(CC)c1)OC)c1Cl,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c(CC)c1)c(C(NCC2[NH+](CC)CCC2)=O)c(OC)c1Cl,6.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c(C(C)(C)C)c1)c(C(C)(C)C)cc1[N+]([O-])=O,6.92,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
