SMILES Labelled,ConBase_pKa,pB,qB,Reference
[N:10]1(CCCl)CCOCC1,6.27,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCOC(Cc(cccc2)c2Nc(c(Cl)ccc2)c2Cl)=O)CCOCC1,8.4,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCCCCC)CCCCC1,8.28,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCCC([O-])=O)CCCCC1,10.47,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCC1)C1CC[NH2+]CC1,7.97,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCC1)C(C)CC(c1ccccc1)c1ccccc1,8.8,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCC1)C(C)CC(c1ccccc1)(c1ccccc1)O,8.62,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCC1)C(C)CC(c1ccccc1)(c1ccccc1)C#N,7.73,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCC1)C(C)CC(C(CC)=O)(c1ccccc1)c1ccccc1,8.58,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCC1)C(C)C,10.96,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCCC(c2ccccc2)=O)CCOCC1,7.5,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC2)[C@H]2[C@@H](C2)CN(CCCC3)[C@@H]3[C@@H]2C1,11.3,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC2)[C@@H]2[C@@H](CO)CCC1,10.16,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC1)C1CCCCC1,10.7,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC1)C(C)C,11.22,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC[n]2nccc2)CCN(Cc2nc(cccc3)c3[n]2CCOCC)CCC1,9.2,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC[n]2ncc(C([O-])=O)c2)CCN(Cc2nc(cccc3)c3[n]2CCOCC)CCC1,9.1,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC)CCCCC1,10.47,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC)CCCC1,10.36,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC)C(C)CCCC1,10.7,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC)C(C)CCC1,10.65,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCC(c2ccccc2)=O)CCOCC1,7.26,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2OC(C)=O,9.27,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2O,9.93,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2Cl,8.79,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2c1ccccc1,10.2,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2c1ccc[o]1,10.03,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2C#N,7.85,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2C(OCC)=O,9.64,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2C(OC)=O,9.4,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2C(N)=O,9.74,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2c(cc1)ccc1N(C)C,10.29,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2=O,7.27,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2(c1ccc[o]1)O,9.06,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2CC1)CC2(c1cc(cccc2)c2[o]1)O,8.84,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2)C2CCC1,11.74,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2)[C@@H]2CC[C@H]1CCCO,11.48,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2)[C@@H]2CC[C@H]1C,12.02,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2)[C@@H]2CC[C@@H]1CCCO,11.17,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2)[C@@H]2CC[C@@H]1C,11.74,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2)[C@@H]2[C@@H](CO)CC1,10.87,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC2)[C@@H]2[C@@H](C)CC1,11.44,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC=C)C[C@H](C2)c3cccc([O-])[n+]3C[C@H]2C1,7,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC[NH+]2CCOCC2)CCOCC1,6.25,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
